#,Date-Time (HST),Temperature   (°C),Started,Host Connected,End of File,datetime,date,time
8685,03/07/2025 13:10:00,22.96,NA,NA,NA,2025-03-07T13:10:00Z,2025-03-07,13:10:00
8686,03/07/2025 13:20:00,23.078,NA,NA,NA,2025-03-07T13:20:00Z,2025-03-07,13:20:00
8687,03/07/2025 13:30:00,23.142,NA,NA,NA,2025-03-07T13:30:00Z,2025-03-07,13:30:00
8688,03/07/2025 13:40:00,23.131,NA,NA,NA,2025-03-07T13:40:00Z,2025-03-07,13:40:00
8689,03/07/2025 13:50:00,23.217,NA,NA,NA,2025-03-07T13:50:00Z,2025-03-07,13:50:00
8690,03/07/2025 14:00:00,23.271,NA,NA,NA,2025-03-07T14:00:00Z,2025-03-07,14:00:00
8691,03/07/2025 14:10:00,23.314,NA,NA,NA,2025-03-07T14:10:00Z,2025-03-07,14:10:00
8692,03/07/2025 14:20:00,23.335,NA,NA,NA,2025-03-07T14:20:00Z,2025-03-07,14:20:00
8693,03/07/2025 14:30:00,23.356,NA,NA,NA,2025-03-07T14:30:00Z,2025-03-07,14:30:00
8694,03/07/2025 14:40:00,23.389,NA,NA,NA,2025-03-07T14:40:00Z,2025-03-07,14:40:00
8695,03/07/2025 14:50:00,23.453,NA,NA,NA,2025-03-07T14:50:00Z,2025-03-07,14:50:00
8696,03/07/2025 15:00:00,23.496,NA,NA,NA,2025-03-07T15:00:00Z,2025-03-07,15:00:00
8697,03/07/2025 15:10:00,23.507,NA,NA,NA,2025-03-07T15:10:00Z,2025-03-07,15:10:00
8698,03/07/2025 15:20:00,23.571,NA,NA,NA,2025-03-07T15:20:00Z,2025-03-07,15:20:00
8699,03/07/2025 15:30:00,23.592,NA,NA,NA,2025-03-07T15:30:00Z,2025-03-07,15:30:00
8700,03/07/2025 15:40:00,23.635,NA,NA,NA,2025-03-07T15:40:00Z,2025-03-07,15:40:00
8701,03/07/2025 15:50:00,23.635,NA,NA,NA,2025-03-07T15:50:00Z,2025-03-07,15:50:00
8702,03/07/2025 16:00:00,23.646,NA,NA,NA,2025-03-07T16:00:00Z,2025-03-07,16:00:00
8703,03/07/2025 16:10:00,23.657,NA,NA,NA,2025-03-07T16:10:00Z,2025-03-07,16:10:00
